RespondentID,Have you seen any of the 6 films in the Star Wars franchise?,Do you consider yourself to be a fan of the Star Wars film franchise?,Which character shot first?,Are you familiar with the Expanded Universe?,Do you consider yourself to be a fan of the Expanded Universe?æ,Do you consider yourself to be a fan of the Star Trek franchise?,Gender,Age,Household Income,Education,Location (Census Region),Watched Star Wars Flim,Ranking The Flims (1-6),Chararcter Favourabilty
3289148779.0,Yes,0,Greedo,0,No Response,0,Male,> 60,"$50,000 - $99,999",Graduate degree,West North Central,"['Star Wars: Episode I  The Phantom Menace', nan, nan, nan, nan, nan]","['1', '2', '3', '4', '5', '6']","['Somewhat unfavorably', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)']"
3289112999.0,Yes,0,I don't understand this question,0,No Response,0,Female,45-60,"$150,000+",Bachelor degree,South Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['4', '5', '6', '3', '1', '2']","['Somewhat favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Unfamiliar (N/A)', 'Somewhat unfavorably', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Very favorably', 'Very favorably', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Very favorably']"
3289095873.0,Yes,0,I don't understand this question,0,No Response,0,Female,> 60,"$100,000 - $149,999",Graduate degree,Mountain,"['Star Wars: Episode I  The Phantom Menace', nan, nan, nan, nan, nan]","['1', '2', '3', '4', '5', '6']","['Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)']"
3289069642.0,Yes,1,Han,0,No Response,1,Male,30-44,No Response,Some college or Associate degree,South Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['4', '5', '6', '1', '2', '3']","['Very favorably', 'Very favorably', 'Very favorably', 'Very unfavorably', 'Very favorably', 'Very unfavorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very favorably', 'Very unfavorably', 'Very unfavorably', 'Very favorably']"
3289064086.0,Yes,0,I don't understand this question,0,No Response,0,Female,30-44,No Response,Graduate degree,Middle Atlantic,"[nan, nan, nan, 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['3', '4', '5', '1', '2', '6']","['Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very unfavorably', 'Very unfavorably', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Very unfavorably', 'Very unfavorably', 'Very favorably']"
3289054324.0,Yes,1,Han,1,1,0,Male,30-44,"$150,000+",Some college or Associate degree,East North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['1', '4', '5', '3', '2', '6']","['Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very favorably', 'Unfamiliar (N/A)', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Very unfavorably', 'Somewhat unfavorably', 'Very favorably', 'Somewhat unfavorably', 'Very favorably', 'Very favorably']"
3289049751.0,Yes,0,Greedo,0,No Response,1,Female,45-60,No Response,Graduate degree,New England,"['Star Wars: Episode I  The Phantom Menace', nan, nan, nan, nan, nan]","['1', '2', '3', '4', '5', '6']","['Somewhat favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Very unfavorably', 'Unfamiliar (N/A)', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Unfamiliar (N/A)', 'Very favorably']"
3289032654.0,No,No Response,No Response,No Response,No Response,0,Female,45-60,"$150,000+",Some college or Associate degree,New England,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3288941294.0,Yes,1,Greedo,0,No Response,1,Male,30-44,"$150,000+",Graduate degree,South Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['3', '5', '4', '6', '1', '2']","['Very favorably', 'Very favorably', 'Very favorably', 'Somewhat unfavorably', 'Very favorably', 'Very unfavorably', 'Very favorably', 'Somewhat unfavorably', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very favorably']"
3288846487.0,Yes,1,I don't understand this question,0,No Response,1,Male,> 60,No Response,Graduate degree,Middle Atlantic,"[nan, nan, nan, 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['4', '5', '6', '1', '3', '2']","['Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Unfamiliar (N/A)', 'Very favorably', 'Unfamiliar (N/A)', 'Somewhat favorably', 'Unfamiliar (N/A)', 'Very unfavorably', 'Somewhat favorably', 'Very favorably', 'Very unfavorably', 'Unfamiliar (N/A)', 'Very favorably']"
